[megakernel] selftest mla rel=2.70e-03 pair_prefill=False group=2 prefill32=False -> ARM
[b12x-bounds] state_E=288 n=512 tile_m=16 routed_rows=2048 -> rows 6640/6640 tiles 415/415 tasks 1660/1660
round 0 [3724.608063697815, 3641.8240070343018]
round 1 [3705.2160501480103, 3653.231978416443]
round 2 [3707.9520225524902, 3641.8720483779907]
round 3 [3710.9440565109253, 3649.4879722595215]
round 4 [3709.823966026306, 3641.3439512252808]
case 256 1 {'baseline': 3709.9039554595947, 'optimized': 3643.391966819763}
round 0 [4115.071773529053, 4066.800117492676]
round 1 [4119.584083557129, 4068.272113800049]
round 2 [4117.455959320068, 4073.215961456299]
round 3 [4123.136043548584, 4077.631950378418]
round 4 [4112.623929977417, 4064.703941345215]
case 256 6 {'baseline': 4117.984056472778, 'optimized': 4069.3600177764893}
round 0 [3841.3599729537964, 3763.152003288269]
round 1 [3827.9839754104614, 3761.647939682007]
round 2 [3829.6959400177, 3763.2800340652466]
round 3 [3828.2079696655273, 3764.2719745635986]
round 4 [3829.8720121383667, 3765.1519775390625]
case 32768 1 {'baseline': 3829.743981361389, 'optimized': 3763.311982154846}
round 0 [4319.616079330444, 4269.680023193359]
round 1 [4322.736024856567, 4275.151968002319]
round 2 [4321.184158325195, 4275.167942047119]
round 3 [4331.9361209869385, 4272.91202545166]
round 4 [4335.007905960083, 4359.119892120361]
case 32768 6 {'baseline': 4322.432041168213, 'optimized': 4274.54400062561}
