round 0 [17.44000054895878, 7.1199999656528234]
round 1 [17.44000054895878, 7.055999943986535]
round 2 [17.44000054895878, 7.136000087484717]
round 3 [17.44000054895878, 7.104000076651573]
round 4 [17.44000054895878, 7.1199999656528234]
round 0 [17.456000670790672, 7.151999976485968]
round 1 [17.40800030529499, 7.151999976485968]
round 2 [17.44000054895878, 7.168000098317862]
round 3 [17.424000427126884, 7.168000098317862]
round 4 [17.456000670790672, 7.1199999656528234]
round 0 [17.472000792622566, 15.760000795125961]
round 1 [17.44000054895878, 15.648000407963991]
round 2 [17.472000792622566, 15.552000142633915]
round 3 [17.44000054895878, 15.63199982047081]
round 4 [17.40800030529499, 15.664000064134598]
transfer 1 1 {'baseline': 17.44000054895878, 'optimized': 7.071999832987785}
round 0 [80.89599758386612, 8.271999657154083]
round 1 [80.89599758386612, 8.144000079482794]
round 2 [81.69600367546082, 8.383999578654766]
round 3 [80.92799782752991, 8.239999879151583]
round 4 [80.76799660921097, 8.175999857485294]
round 0 [74.89599660038948, 8.336000144481659]
round 1 [74.89600032567978, 7.983999792486429]
round 2 [75.6480023264885, 8.224000222980976]
round 3 [76.03199779987335, 8.336000144481659]
round 4 [75.71200281381607, 8.191999979317188]
round 0 [75.79200342297554, 73.79200309515]
round 1 [74.91199672222137, 73.7600028514862]
round 2 [74.78400319814682, 74.60800185799599]
round 3 [74.86400008201599, 74.09599795937538]
round 4 [75.119998306036, 74.06400144100189]
transfer 1 2 {'baseline': 80.92799782752991, 'optimized': 8.239999879151583}
round 0 [220.16000002622604, 12.59199995547533]
round 1 [219.67999637126923, 12.799999676644802]
round 2 [218.99200230836868, 12.815999798476696]
round 3 [219.07199919223785, 12.223999947309494]
round 4 [219.67999637126923, 12.527999933809042]
round 0 [211.45599335432053, 12.41600001230836]
round 1 [211.69599890708923, 11.872000060975552]
round 2 [211.63199841976166, 12.064000125974417]
round 3 [212.0160013437271, 11.79199991747737]
round 4 [211.39200031757355, 12.208000291138887]
round 0 [221.37600183486938, 212.89600431919098]
round 1 [213.02400529384613, 218.32000464200974]
round 2 [214.62400257587433, 213.45599740743637]
round 3 [211.7599993944168, 212.92799711227417]
round 4 [211.87199652194977, 212.97600120306015]
transfer 1 4 {'baseline': 219.16800737380981, 'optimized': 12.703999876976013}
round 0 [1882.703959941864, 365.200012922287]
round 1 [1872.7840185165405, 364.51199650764465]
round 2 [1870.3519701957703, 363.3919954299927]
round 3 [1872.383952140808, 362.4959886074066]
round 4 [1869.7920441627502, 363.16798627376556]
round 0 [1850.3680229187012, 361.83999478816986]
round 1 [1961.5359902381897, 362.4959886074066]
round 2 [1865.98402261734, 362.4959886074066]
round 3 [1847.9999899864197, 365.88799953460693]
round 4 [1847.648024559021, 361.2480014562607]
round 0 [1852.1599769592285, 1855.4080128669739]
round 1 [1847.760021686554, 1848.6080169677734]
round 2 [1847.4239706993103, 1842.3359990119934]
round 3 [1849.9199748039246, 1840.8640027046204]
round 4 [1846.1439609527588, 1842.960000038147]
transfer 34 1 {'baseline': 1873.7760186195374, 'optimized': 363.45601081848145}
round 0 [3687.3440742492676, 642.0640051364899]
round 1 [3686.7200136184692, 641.9679820537567]
round 2 [3680.079936981201, 642.7839994430542]
round 3 [3726.7680168151855, 642.73601770401]
round 4 [3686.7198944091797, 644.4799900054932]
round 0 [3609.2159748077393, 653.1360149383545]
round 1 [3607.2640419006348, 641.9680118560791]
round 2 [3636.1600160598755, 643.1839764118195]
round 3 [3633.568048477173, 640.2559876441956]
round 4 [3633.7279081344604, 640.8959925174713]
round 0 [3713.7759923934937, 3632.6080560684204]
round 1 [3610.5120182037354, 3614.7040128707886]
round 2 [3609.0880632400513, 3611.0399961471558]
round 3 [3608.240008354187, 3612.2560501098633]
round 4 [3604.7199964523315, 3614.2239570617676]
transfer 34 2 {'baseline': 3686.352014541626, 'optimized': 642.848014831543}
round 0 [7403.424024581909, 1251.1839866638184]
round 1 [7475.552082061768, 1250.3039836883545]
round 2 [7411.695957183838, 1259.8080039024353]
round 3 [7412.64009475708, 1259.5360279083252]
round 4 [7407.7441692352295, 1250.752031803131]
round 0 [7135.695934295654, 1252.351999282837]
round 1 [7117.712020874023, 1237.6480102539062]
round 2 [7115.664005279541, 1235.9999418258667]
round 3 [7115.087985992432, 1235.7439994812012]
round 4 [7198.080062866211, 1242.688000202179]
round 0 [7136.51180267334, 7166.368007659912]
round 1 [7132.928133010864, 7168.000221252441]
round 2 [7133.919954299927, 7169.520139694214]
round 3 [7129.584074020386, 7167.61589050293]
round 4 [7128.623962402344, 7164.83211517334]
transfer 34 4 {'baseline': 7411.263942718506, 'optimized': 1253.7760138511658}
