[megakernel] selftest mla rel=2.70e-03 pair_prefill=False group=2 prefill32=False -> ARM
[b12x-bounds] state_E=288 n=512 tile_m=16 routed_rows=2048 -> rows 6640/6640 tiles 415/415 tasks 1660/1660
round 0 [3714.128017425537, 3658.28800201416]
round 1 [3719.1840410232544, 3658.7679386138916]
round 2 [3716.1279916763306, 3659.279942512512]
round 3 [3716.591954231262, 3660.799980163574]
round 4 [3715.61598777771, 3658.8000059127808]
case 256 1 {'baseline': 3716.063976287842, 'optimized': 3658.8000059127808}
round 0 [4092.303991317749, 4049.423933029175]
round 1 [4087.423801422119, 4048.9120483398438]
round 2 [4093.968152999878, 4050.191879272461]
round 3 [4090.8639430999756, 4052.960157394409]
round 4 [4092.5278663635254, 4055.040121078491]
case 256 6 {'baseline': 4092.047929763794, 'optimized': 4050.959825515747}
round 0 [3968.4640169143677, 3902.384042739868]
round 1 [3848.27196598053, 3782.655954360962]
round 2 [3894.2400217056274, 3785.6640815734863]
round 3 [3851.1040210723877, 3786.8800163269043]
round 4 [3849.392056465149, 3785.823941230774]
case 32768 1 {'baseline': 3855.3119897842407, 'optimized': 3788.1439924240112}
round 0 [4290.799856185913, 4240.624189376831]
round 1 [4299.15189743042, 4277.888059616089]
round 2 [4300.351858139038, 4240.528106689453]
round 3 [4304.3200969696045, 4242.496013641357]
round 4 [4305.408000946045, 4243.119955062866]
case 32768 6 {'baseline': 4300.559997558594, 'optimized': 4242.944002151489}
